Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
1,Bitcoin,BTC,"$110,673",-0.06%,0.68%,3.85%,-2.63%,"$49,856,387,746","19,939,343","19,939,343","$2,206,643,696,902"
2,Ethereum,ETH,"$3,932.55",0.18%,2.28%,2.63%,-5.77%,"$31,265,857,583","120,698,299.8548916","120,698,299.8548916","$474,646,338,424"
3,Tether,USDT,$1,-0.01%,-0.01%,-0.03%,-0.01%,"$95,102,919,591","182,890,451,789.68728638","182,890,451,789.68728638","$182,938,093,072"
4,BNB,BNB,"$1,112.36",0.16%,-0.28%,4.22%,9.48%,"$2,587,513,490","139,179,880.34","139,179,880.34","$154,839,508,518"
5,XRP,XRP,$2.51,0.20%,4.52%,9.21%,-14.97%,"$3,888,891,402","60,017,279,517","99,985,778,283","$150,520,368,499"
6,Solana,SOL,$193.64,0.54%,1.82%,5.38%,-9.49%,"$6,071,184,836","549,456,130.61662161","612,567,588.84459639","$106,401,562,028"
7,USDC,USDC,$0.999799,-0.01%,-0.01%,-0.00%,0.01%,"$8,100,514,664","76,222,595,947.42375183","76,247,106,060.02476501","$76,207,435,217"
8,Lido Staked Ether,STETH,"$3,933.31",0.20%,2.40%,2.74%,-5.46%,"$84,714,528","8,592,878.65265174","8,592,878.65265174","$33,805,672,507"
9,Dogecoin,DOGE,$0.197122,0.29%,1.06%,6.99%,-19.40%,"$1,526,294,282","151,445,986,383.7052002","151,487,486,383.7052002","$29,852,760,071"
10,TRON,TRX,$0.304752,0.09%,-3.67%,-1.04%,-10.09%,"$953,310,676","94,664,788,264.4881134","94,664,840,070.86920166","$28,860,382,839"
11,Cardano,ADA,$0.655523,0.26%,1.88%,5.06%,-20.35%,"$1,052,339,283","36,566,787,549.77942657","45,000,000,000","$23,932,545,808"
12,Wrapped stETH,WSTETH,"$4,789.61",0.26%,2.48%,2.85%,-5.41%,"$17,780,399","3,312,502.06568758","3,312,502.06568758","$15,866,545,293"
13,Wrapped Bitcoin,WBTC,"$110,731",-0.01%,1.03%,3.88%,-2.68%,"$216,361,913","126,773.55811131","126,773.55811131","$14,030,253,880"
14,Wrapped Beacon ETH,WBETH,"$4,249.61",0.24%,2.39%,2.76%,-5.57%,"$32,314,099","3,264,280.491807","3,264,280.491807","$13,871,903,526"
15,Figure Heloc,FIGR_HELOC,$0.994122,0.03%,-0.65%,-4.67%,-0.37%,"$13,505,295","13,235,691,012.87800026","13,235,691,012.87800026","$13,157,886,327"
16,Chainlink,LINK,$17.84,0.55%,2.43%,8.99%,-18.42%,"$639,446,209","696,849,970.45258677","1,000,000,000","$12,416,220,340"
17,Hyperliquid,HYPE,$39.22,0.20%,0.01%,12.55%,-13.81%,"$354,986,578","270,772,999.4341414","999,835,210.4341414","$10,611,486,187"
18,Ethena USDe,USDE,$0.999561,0.00%,0.03%,0.02%,-0.12%,"$313,857,373","10,613,062,391.81183052","10,613,062,391.81183052","$10,606,601,549"
19,Wrapped eETH,WEETH,"$4,246.89",0.16%,2.48%,2.80%,-5.45%,"$8,443,754","2,484,526.31067888","2,484,526.31067888","$10,550,671,065"
20,Stellar,XLM,$0.318383,0.15%,2.12%,3.54%,-15.78%,"$181,722,474","32,019,872,330.30241013","50,001,786,884.69561005","$10,195,191,959"
21,Bitcoin Cash,BCH,$500.77,0.08%,3.89%,7.44%,-10.22%,"$306,180,166","19,943,434.27165078","19,943,434.27165078","$9,986,934,115"
22,Sui,SUI,$2.51,-0.51%,2.59%,3.75%,-25.83%,"$886,293,111","3,625,742,933.07555389","10,000,000,000","$9,109,614,959"
23,USDS,USDS,$0.999683,-0.03%,-0.01%,-0.03%,-0.01%,"$6,709,697","9,085,130,232.96287918","9,085,130,232.96287918","$9,082,254,613"
24,Binance Bridged USDT (BNB Smart Chain),BSC-USD,$0.99992,-0.00%,-0.03%,-0.01%,-0.07%,"$3,058,905,788","8,984,993,295.45393372","8,984,993,295.45393372","$8,990,452,367"
25,WETH,WETH,"$3,935.12",0.13%,2.46%,2.78%,-5.69%,"$294,756,341","2,172,114.31659066","2,172,114.31659066","$8,542,617,506"
26,Avalanche,AVAX,$19.53,0.12%,1.09%,-1.91%,-43.05%,"$438,187,979","426,584,918.79375541","459,920,694.5447281","$8,334,220,600"
27,LEO Token,LEO,$8.96,-0.00%,-0.05%,-5.05%,-5.09%,"$371,770","922,403,644.89999998","985,239,504","$8,265,809,720"
28,Coinbase Wrapped BTC,CBBTC,"$110,651",-0.17%,0.70%,3.72%,-2.70%,"$368,600,811","70,290.61951397","70,290.61951397","$7,773,258,064"
29,Litecoin,LTC,$96.46,0.52%,3.00%,6.48%,-9.27%,"$531,471,412","76,442,989.48347135","76,444,014.48347135","$7,373,500,685"
30,Hedera,HBAR,$0.169708,0.14%,3.05%,4.58%,-24.29%,"$212,518,502","42,475,229,929.05207062","50,000,000,000","$7,210,588,958"
31,USDT0,USDT0,$0.999751,-0.05%,-0.04%,-0.02%,-0.05%,"$394,103,280","7,088,786,217.34889412","7,088,786,217.34889412","$7,086,326,438"
32,WhiteBIT Coin,WBT,$42.16,-0.32%,0.71%,3.36%,-0.33%,"$66,491,952","144,118,517.10815412","321,499,133","$6,075,480,442"
33,Monero,XMR,$326.59,0.32%,1.16%,13.40%,11.62%,"$167,132,971","18,446,744.07370955","18,446,744.07370955","$6,025,133,018"
34,Shiba Inu,SHIB,$0.00001017,0.01%,0.76%,4.54%,-17.02%,"$119,308,725","589,245,495,704,490.75","589,500,827,723,907.625","$5,992,890,214"
35,Toncoin,TON,$2.17,0.11%,1.75%,2.46%,-23.34%,"$124,416,566","2,520,531,974.70392799","5,143,953,586.0036869","$5,468,708,264"
36,Mantle,MNT,$1.65,0.20%,-1.27%,3.14%,-3.44%,"$167,925,645","3,252,944,055.73683977","6,219,316,794.89000034","$5,364,949,170"
37,Cronos,CRO,$0.147935,-0.18%,3.49%,4.25%,-26.52%,"$29,518,065","36,069,519,467.99391937","98,102,817,827.40391541","$5,338,148,051"
38,Ethena Staked USDe,SUSDE,$1.2,0.01%,0.18%,0.13%,0.34%,"$45,652,735","4,284,508,597.00145721","4,284,508,597.00145721","$5,142,529,681"
39,Dai,DAI,$0.999444,-0.02%,-0.05%,-0.07%,-0.05%,"$206,534,811","4,684,636,756.77616787","4,684,636,756.77616787","$4,680,376,163"
40,Polkadot,DOT,$3.07,0.18%,2.72%,5.53%,-24.05%,"$179,439,206","1,522,267,060","1,522,267,060","$4,676,213,250"
41,Zcash,ZEC,$258.63,-0.33%,9.86%,20.18%,338.99%,"$589,342,311","16,348,159.5405448","16,350,322.0405448","$4,228,220,134"
42,Uniswap,UNI,$6.27,0.06%,-0.21%,1.85%,-22.20%,"$215,131,958","600,483,073.71000004","1,000,000,000","$3,764,318,300"
43,Bittensor,TAO,$388.48,-0.50%,0.92%,4.86%,23.73%,"$189,494,214","9,597,491","21,000,000","$3,727,762,364"
44,World Liberty Financial,WLFI,$0.136162,-0.13%,-4.62%,4.98%,-32.15%,"$213,964,985","27,255,958,920.35157013","100,000,000,000","$3,710,110,262"
45,MemeCore,M,$2.18,1.48%,-1.45%,14.77%,-14.72%,"$9,486,884","1,694,072,739.99848294","5,294,072,739.55775928","$3,698,374,819"
46,Aave,AAVE,$228.35,-0.06%,1.64%,12.55%,-18.09%,"$278,017,694","15,257,953.17688127","16,000,000","$3,484,255,857"
47,Ethena,ENA,$0.482205,1.06%,6.33%,9.68%,-19.53%,"$350,014,791","7,156,250,000","15,000,000,000","$3,452,532,656"
48,OKB,OKB,$163.59,0.21%,0.45%,-0.33%,-10.90%,"$41,291,242","21,000,000","21,000,000","$3,436,620,907"
49,ChainOpera AI,COAI,$17.16,-1.37%,4.87%,-10.19%,,"$225,984,550","196,479,267","1,000,000,000","$3,360,933,099"
50,sUSDS,SUSDS,$1.073,-0.01%,0.01%,0.05%,0.40%,"$37,778,842","3,113,353,414.54276514","3,113,353,414.54276514","$3,339,545,971"
51,Bitget Token,BGB,$4.66,-0.03%,0.47%,1.48%,-12.83%,"$85,700,292","699,992,035.97879064","919,992,035.97879064","$3,259,805,764"
52,Pepe,PEPE,$0.00000714,0.24%,3.37%,6.77%,-26.07%,"$407,056,657","420,690,000,000,000","420,690,000,000,000","$3,005,083,397"
53,USD1,USD1,$1,0.03%,0.01%,0.03%,0.00%,"$228,700,848","2,973,836,850.6655488","2,973,836,850.6655488","$2,974,482,907"
54,NEAR Protocol,NEAR,$2.26,0.34%,2.47%,4.82%,-26.48%,"$151,585,500","1,277,744,841","1,277,744,906","$2,886,321,426"
55,BlackRock USD Institutional Digital Liquidity Fund,BUIDL,$1,0.00%,0.00%,0.00%,0.00%,$0,"2,852,342,666.67385387","2,852,342,666.67385387","$2,852,342,667"
56,Jito Staked SOL,JITOSOL,$239.78,0.56%,1.63%,6.51%,-8.86%,"$24,978,285","11,538,829.20732595","11,538,829.20732595","$2,766,816,951"
57,PayPal USD,PYUSD,$0.999738,-0.03%,0.00%,0.00%,-0.03%,"$66,215,228","2,758,495,468.12982798","2,758,495,468.12982798","$2,757,758,440"
58,Wrapped SOL,SOL,$193.6,0.51%,1.74%,5.45%,-9.57%,"$992,960,212","12,913,627.73981681","12,913,627.73981681","$2,500,229,191"
59,Ethereum Classic,ETC,$15.93,0.45%,0.94%,3.31%,-15.52%,"$40,017,373","154,041,850.95842841","154,041,850.95842841","$2,453,697,489"
60,Binance-Peg WETH,WETH,"$3,931.63",0.11%,2.27%,2.70%,-5.81%,"$94,294,070","604,999.99995882","604,999.99995882","$2,378,636,991"
61,Aptos,APT,$3.29,0.13%,0.61%,3.99%,-23.34%,"$307,426,960","718,345,476.7494458","1,181,193,301.90960407","$2,362,759,665"
62,Ondo,ONDO,$0.740356,0.31%,2.64%,5.59%,-20.85%,"$88,832,533","3,159,107,529","10,000,000,000","$2,338,820,411"
63,Aster,ASTER,$1.11,1.52%,1.92%,-1.09%,-51.40%,"$632,405,831","2,017,700,000","8,000,000,000","$2,236,154,419"
64,Falcon USD,USDF,$0.998586,-0.00%,0.04%,0.17%,-0.13%,"$16,887,419","2,207,976,083.56605577","2,207,976,083.56605577","$2,204,454,074"
65,Jupiter Perpetuals Liquidity Provider Token,JLP,$5.5,0.28%,1.00%,3.42%,-1.94%,"$63,637,023","400,448,991.47426403","400,448,991.47426403","$2,200,968,425"
66,Tether Gold,XAUT,"$4,101.54",-0.42%,0.01%,-2.73%,10.29%,"$289,964,833","522,089.3","522,089.3","$2,134,290,926"
67,POL (ex-MATIC),POL,$0.194609,0.28%,0.90%,4.78%,-14.04%,"$58,148,628","10,524,720,168.29722977","10,524,720,168.29722977","$2,048,400,684"
68,Worldcoin,WLD,$0.890456,0.91%,4.43%,1.57%,-33.67%,"$129,671,263","2,246,243,051.63637304","10,000,000,000","$2,000,132,550"
69,Gate,GT,$15.63,-0.17%,-1.36%,0.64%,-5.43%,"$4,555,366","117,344,473.53114802","300,000,000","$1,834,058,414"
70,USDtb,USDTB,$0.999827,-0.00%,-0.04%,-0.03%,-0.07%,"$2,198,079","1,830,625,960.05618191","1,830,625,960.05618191","$1,830,313,940"
71,HTX DAO,HTX,$0.00000193,0.41%,-1.74%,-3.27%,-15.60%,"$21,712,564","930,149,437,822,426.125","930,149,437,822,426.125","$1,795,075,469"
72,KuCoin,KCS,$13.62,0.03%,1.77%,-0.26%,-11.40%,"$6,270,866","129,728,856.73556709","142,228,856.73556709","$1,766,894,919"
73,Rocket Pool ETH,RETH,"$4,499.26",0.09%,2.45%,2.75%,-5.64%,"$2,044,126","389,834.2226873","389,834.2226873","$1,754,108,229"
74,Arbitrum,ARB,$0.317893,0.14%,1.34%,4.72%,-26.93%,"$131,677,279","5,509,691,911","10,000,000,000","$1,751,464,450"
75,Story,IP,$5.34,-0.43%,4.02%,-2.16%,-56.14%,"$46,003,260","321,980,424.75999999","1,016,362,649.64999998","$1,718,311,978"
76,Pi Network,PI,$0.20643,0.26%,1.49%,1.88%,-26.79%,"$14,888,823","8,286,587,105.86754227","12,748,552,117.94133949","$1,708,343,755"
