Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
1,BitcoinBTC,,"$109,220",0.2%,1.6%,1.8%,3.3%,"$72,303,670,067","19,938,556",19.94M,"$2,177,697,101,620"
2,EthereumETH,,"$3,866.20",0.4%,1.0%,4.1%,7.9%,"$36,363,656,295","120,698,327",120.7M,"$466,680,705,576"
3,TetherUSDT,,$1.00,0.0%,0.0%,0.0%,0.0%,"$123,473,190,261","182,504,361,790",182.5B,"$182,559,899,038"
4,BNBBNB,,"$1,094.11",0.5%,2.3%,7.5%,9.7%,"$3,397,244,215","139,180,146",139.18M,"$152,275,746,366"
5,XRPXRP,,$2.40,0.8%,0.1%,1.2%,16.3%,"$3,581,183,071","59,975,443,601",99.99B,"$143,685,950,220"
6,SolanaSOL,,$188.23,0.2%,1.5%,3.0%,14.1%,"$7,209,596,049","546,663,767",612.43M,"$102,922,959,739"
7,USDCUSDC,,$0.9999,0.0%,0.0%,0.0%,0.0%,"$20,247,249,787","76,545,038,871",76.55B,"$76,524,496,896"
8,Lido Staked EtherSTETH,,"$3,864.82",0.4%,1.0%,4.6%,7.8%,"$89,444,517","8,492,262",8.49M,"$32,825,563,794"
9,TRONTRX,,$0.3218,0.1%,0.7%,0.1%,5.7%,"$825,735,918","94,665,116,554",94.67B,"$30,452,316,582"
10,DogecoinDOGE,,$0.1935,1.0%,1.3%,2.3%,19.7%,"$2,219,858,999","151,445,986,384",151.47B,"$29,315,897,007"
11,CardanoADA,,$0.637,0.6%,0.3%,5.5%,22.7%,"$1,209,209,067","36,566,787,550",45B,"$23,290,394,335"
12,Wrapped stETHWSTETH,,"$4,703.07",0.4%,1.0%,4.0%,7.6%,"$43,032,098","3,216,282",3.22M,"$15,140,785,772"
13,Wrapped BitcoinWBTC,,"$109,056",0.2%,1.5%,1.9%,3.3%,"$332,361,634","126,774",126773.56,"$13,825,966,182"
14,Wrapped Beacon ETHWBETH,,"$4,175.04",0.4%,1.0%,4.1%,7.8%,"$29,469,131","3,264,280",3.26M,"$13,630,285,666"
15,Figure HelocFIGR_HELOC,,$1.00,0.0%,2.0%,2.2%,0.3%,"$608,993,172","13,193,441,797",13.19B,"$13,194,349,735"
16,ChainlinkLINK,,$17.31,0.6%,0.7%,4.7%,20.7%,"$899,462,744","696,849,970",1B,"$12,066,797,341"
17,Ethena USDeUSDE,,$0.9991,0.0%,0.0%,0.1%,0.2%,"$431,994,913","10,928,814,184",10.93B,"$10,918,821,985"
18,HyperliquidHYPE,,$38.87,1.2%,8.3%,1.7%,19.1%,"$701,637,003","270,772,999",999.84M,"$10,525,435,593"
19,Wrapped eETHWEETH,,"$4,171.20",0.4%,1.0%,4.1%,7.7%,"$6,542,706","2,479,028",2.48M,"$10,343,945,421"
20,StellarXLM,,$0.3119,0.9%,0.1%,4.4%,15.9%,"$186,220,295","32,009,795,575",50B,"$9,984,402,075"
21,Bitcoin CashBCH,,$483.73,0.0%,2.4%,7.9%,14.0%,"$632,690,645","19,942,587",19.94M,"$9,648,558,179"
22,USDSUSDS,,$1,0.1%,0.0%,0.0%,0.1%,"$21,890,654","9,130,174,547",9.13B,"$9,125,761,271"
23,Binance Bridged USDT (BNB Smart Chain)BSC-USD,,$1.00,0.1%,0.0%,0.3%,0.5%,"$3,313,620,324","8,984,993,296",8.98B,"$8,984,571,111"
24,SuiSUI,,$2.44,0.7%,0.8%,8.9%,27.6%,"$956,107,327","3,625,742,933",10B,"$8,868,054,291"
25,WETHWETH,,"$3,865.37",0.4%,1.0%,4.2%,7.9%,"$228,464,878","2,158,450",2.16M,"$8,343,282,410"
26,AvalancheAVAX,,$19.44,0.6%,0.7%,12.4%,44.1%,"$493,909,812","426,568,779",459.9M,"$8,292,156,661"
27,LEO TokenLEO,,$8.97,0.1%,0.1%,7.0%,5.4%,"$614,404","922,403,645",985.24M,"$8,272,686,088"
28,Coinbase Wrapped BTCCBBTC,,"$109,261",0.2%,1.6%,1.8%,3.2%,"$527,437,458","70,185",70185.36,"$7,669,312,184"
29,HederaHBAR,,$0.1687,0.6%,0.2%,6.7%,24.4%,"$212,426,767","42,405,229,929",50B,"$7,158,048,410"
30,LitecoinLTC,,$93.31,0.4%,1.2%,2.2%,12.0%,"$713,199,640","76,437,314",76.44M,"$7,132,961,155"
31,USDT0USDT0,,$1.00,0.0%,0.0%,0.0%,0.0%,"$530,500,025","7,117,582,146",7.12B,"$7,109,081,277"
32,MoneroXMR,,$331.30,1.8%,8.1%,3.7%,13.4%,"$198,451,370","18,446,744",18.45M,"$6,118,225,422"
33,WhiteBIT CoinWBT,,$41.72,0.2%,1.7%,1.6%,1.3%,"$108,357,908","144,118,517",321.5M,"$6,012,333,884"
34,Shiba InuSHIB,,$0.059977,0.5%,0.8%,3.6%,18.5%,"$178,457,934","589,245,519,600,614",589.5T,"$5,879,060,452"
35,MantleMNT,,$1.67,2.2%,3.5%,9.4%,5.2%,"$195,284,046","3,252,944,056",6.22B,"$5,437,307,125"
36,ToncoinTON,,$2.12,0.3%,1.1%,6.3%,25.2%,"$151,126,005","2,520,418,485",5.14B,"$5,330,671,603"
37,Ethena Staked USDeSUSDE,,$1.20,0.0%,0.1%,0.1%,0.3%,"$70,432,286","4,420,632,110",4.42B,"$5,292,232,833"
38,CronosCRO,,$0.144,0.3%,0.8%,8.9%,32.2%,"$27,460,623","36,066,052,405",98.1B,"$5,194,824,373"
39,DaiDAI,,$0.9995,0.0%,0.0%,0.1%,0.0%,"$74,043,457","4,691,235,464",4.69B,"$4,688,527,947"
