Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap
1,Bitcoin BTC,,"$109,258",0.2%,1.6%,1.7%,3.3%,"$72,328,773,687","19,938,556",19.94M,"$2,178,453,191,602"
2,Ethereum ETH,,"$3,867.55",0.3%,1.0%,4.0%,7.8%,"$36,376,281,648","120,698,327",120.7M,"$466,842,735,734"
3,Tether USDT,,$1.00,0.0%,0.0%,0.0%,0.0%,"$123,516,059,787","182,504,361,790",182.5B,"$182,623,283,294"
4,BNB BNB,,"$1,094.49",0.4%,2.4%,7.5%,9.7%,"$3,398,423,729","139,180,146",139.18M,"$152,328,616,054"
5,XRP XRP,,$2.40,0.8%,0.1%,1.2%,16.3%,"$3,582,426,447","59,975,443,601",99.99B,"$143,735,837,556"
6,Solana SOL,,$188.30,0.2%,1.5%,3.0%,14.1%,"$7,212,099,200","546,663,767",612.43M,"$102,958,694,285"
7,USDC USDC,,$1.00,0.0%,0.0%,0.0%,0.0%,"$20,254,279,572","76,545,038,871",76.55B,"$76,551,065,974"
8,Lido Staked Ether STETH,,"$3,866.16",0.4%,1.0%,4.5%,7.8%,"$89,475,571","8,492,262",8.49M,"$32,836,960,733"
9,TRON TRX,,$0.3219,0.1%,0.7%,0.0%,5.7%,"$826,022,611","94,665,116,554",94.67B,"$30,462,889,536"
10,Dogecoin DOGE,,$0.1936,1.0%,1.3%,2.2%,19.7%,"$2,220,629,727","151,445,986,384",151.47B,"$29,326,075,400"
11,Cardano ADA,,$0.6372,0.5%,0.3%,5.4%,22.6%,"$1,209,628,901","36,566,787,550",45B,"$23,298,480,691"
12,Wrapped stETH WSTETH,,"$4,704.71",0.4%,1.0%,4.0%,7.6%,"$43,047,039","3,216,282",3.22M,"$15,146,042,608"
13,Wrapped Bitcoin WBTC,,"$109,094",0.1%,1.6%,1.9%,3.2%,"$332,477,029","126,774",126773.56,"$13,830,766,517"
14,Wrapped Beacon ETH WBETH,,"$4,176.49",0.3%,1.1%,4.0%,7.7%,"$29,479,362","3,264,280",3.26M,"$13,635,018,061"
15,Figure Heloc FIGR_HELOC,,$1.00,0.0%,2.0%,2.2%,0.3%,"$609,204,612","13,193,441,797",13.19B,"$13,198,930,775"
16,Chainlink LINK,,$17.31,0.5%,0.7%,4.7%,20.7%,"$899,775,035","696,849,970",1B,"$12,070,986,898"
17,Ethena USDe USDE,,$0.9994,0.0%,0.0%,0.1%,0.2%,"$432,144,900","10,928,814,184",10.93B,"$10,922,612,968"
18,Hyperliquid HYPE,,$38.89,1.4%,8.0%,1.5%,19.3%,"$701,880,610","270,772,999",999.84M,"$10,529,089,993"
