Rank,Name,Symbol,Price,Change_1h,Change_24h,Change_7d,Change_30d,Volume_24h,Circulating_Supply,Total_Supply,Market_Cap,Cluster,PC1,PC2
8,Lido Staked EtherSTETH,,3864.82,0.4%,1.0,4.6,7.8%,"$89,444,517","8,492,262",8.49M,32825563794.0,2,-1.869717867478609,14.37105478819358
12,Wrapped stETHWSTETH,,4703.07,0.4%,1.0,4.0,7.6%,"$43,032,098","3,216,282",3.22M,15140785772.0,2,-1.0361644310277374,6.5590940987692985
13,Wrapped BitcoinWBTC,,109056.0,0.2%,1.5,1.9,3.3%,"$332,361,634","126,774",126773.56,13825966182.0,2,-1.5518361222511368,10.172075546819489
14,Wrapped Beacon ETHWBETH,,4175.04,0.4%,1.0,4.1,7.8%,"$29,469,131","3,264,280",3.26M,13630285666.0,2,-0.9582626700814182,5.868108173703798
15,Figure HelocFIGR_HELOC,,1.0,0.0%,2.0,2.2,0.3%,"$608,993,172","13,193,441,797",13.19B,13194349735.0,2,-0.8591610638016042,5.516305618555761
17,Ethena USDeUSDE,,0.9991,0.0%,0.0,0.1,0.2%,"$431,994,913","10,928,814,184",10.93B,10918821985.0,2,-0.9907437732290891,4.474542365962546
18,HyperliquidHYPE,,38.87,1.2%,8.3,1.7,19.1%,"$701,637,003","270,772,999",999.84M,10525435593.0,2,-0.12967112034399103,4.419547438850008
19,Wrapped eETHWEETH,,4171.2,0.4%,1.0,4.1,7.7%,"$6,542,706","2,479,028",2.48M,10343945421.0,2,-0.7999929016340982,4.410266496135798
22,USDSUSDS,,1.0,0.1%,0.0,0.0,0.1%,"$21,890,654","9,130,174,547",9.13B,9125761271.0,2,-0.9066289855159549,3.6789797951921797
23,Binance Bridged USDT (BNB Smart Chain)BSC-USD,,1.0,0.1%,0.0,0.3,0.5%,"$3,313,620,324","8,984,993,296",8.98B,8984571111.0,2,-0.8931487700761557,3.6170542017556406
24,SuiSUI,,2.44,0.7%,0.8,8.9,27.6%,"$956,107,327","3,625,742,933",10B,8868054291.0,2,-0.6182569086795107,3.5965256724540517
25,WETHWETH,,3865.37,0.4%,1.0,4.2,7.9%,"$228,464,878","2,158,450",2.16M,8343282410.0,2,-0.6997248683837787,3.5107949455220195
27,LEO TokenLEO,,8.97,0.1%,0.1,7.0,5.4%,"$614,404","922,403,645",985.24M,8272686088.0,2,-0.6999754628096837,3.3186351428118774
28,Coinbase Wrapped BTCCBBTC,,109261.0,0.2%,1.6,1.8,3.2%,"$527,437,458","70,185",70185.36,7669312184.0,1,-1.2490212015908675,7.450615619066388
29,HederaHBAR,,0.1687,0.6%,0.2,6.7,24.4%,"$212,426,767","42,405,229,929",50B,7158048410.0,2,-0.6432149822463512,2.8245490023219624
31,USDT0USDT0,,1.0,0.0%,0.0,0.0,0.0%,"$530,500,025","7,117,582,146",7.12B,7109081277.0,2,-0.8095190243551611,2.784462285240175
32,MoneroXMR,,331.3,1.8%,8.1,3.7,13.4%,"$198,451,370","18,446,744",18.45M,6118225422.0,0,0.10602750852031745,2.4783593636313195
33,WhiteBIT CoinWBT,,41.72,0.2%,1.7,1.6,1.3%,"$108,357,908","144,118,517",321.5M,6012333884.0,0,-0.5560702760835696,2.3267608031995652
35,MantleMNT,,1.67,2.2%,3.5,9.4,5.2%,"$195,284,046","3,252,944,056",6.22B,5437307125.0,0,-0.1794923116489799,2.113083319872842
36,ToncoinTON,,2.12,0.3%,1.1,6.3,25.2%,"$151,126,005","2,520,418,485",5.14B,5330671603.0,0,-0.47666587452884407,2.0255300423147427
37,Ethena Staked USDeSUSDE,,1.2,0.0%,0.1,0.1,0.3%,"$70,432,286","4,420,632,110",4.42B,5292232833.0,0,-0.7100862449085253,1.9801998795867142
38,CronosCRO,,0.144,0.3%,0.8,8.9,32.2%,"$27,460,623","36,066,052,405",98.1B,5194824373.0,0,-0.4413656878538658,1.9671374736725664
39,DaiDAI,,0.9995,0.0%,0.0,0.1,0.0%,"$74,043,457","4,691,235,464",4.69B,4688527947.0,0,-0.6907340496434142,1.7110364585803837
41,ZcashZEC,,234.75,1.0%,13.7,1.2,376.9%,"$713,957,926","16,344,194",16.35M,3843306727.0,0,0.704715053392318,1.5366535919163902
42,MemeCoreM,,2.2,0.9%,1.2,10.7,8.4%,"$12,548,510","1,693,580,728",5.29B,3725834592.0,0,-0.29167430549707074,1.325344986941049
44,BittensorTAO,,373.45,4.1%,4.1,6.0,17.6%,"$268,078,840","9,597,491",21M,3591204222.0,0,-0.1100722606387193,1.309487141465405
45,sUSDSSUSDS,,1.07,0.1%,0.8,0.3,0.8%,"$42,435,414","3,218,569,054",3.22B,3450216771.0,0,-0.5488964645625933,1.1732524791480297
46,World Liberty FinancialWLFI,,0.1253,1.2%,0.5,12.2,39.1%,"$133,599,217","27,256,577,359",100B,3415460298.0,0,-0.31134549398698697,1.1814609372476481
47,OKBOKB,,162.55,0.3%,1.6,8.4,11.1%,"$85,571,493","21,000,000",21M,3410809608.0,0,-0.2897441701784371,1.1921913438642722
48,AaveAAVE,,220.7,0.6%,0.8,9.0,18.5%,"$454,132,322","15,256,711",16M,3367672306.0,0,-0.3523825721706699,1.1657851135150326
49,EthenaENA,,0.4637,0.3%,0.8,6.5,24.4%,"$463,515,052","7,156,250,000",15B,3318140369.0,0,-0.40445024079369796,1.1291242472495817
50,ChainOpera AICOAI,,16.51,0.3%,75.8,29.0,-,"$177,816,628","196,479,267",1B,3295880482.0,4,7.387154012881123,2.2047007487529102
51,Bitget TokenBGB,,4.59,0.2%,0.3,4.6,11.3%,"$75,022,719","699,992,036",919.99M,3213673010.0,0,-0.4903552471753672,1.0716335111358326
52,PepePEPE,,0.056839,0.7%,0.5,5.6,29.5%,"$445,019,333","420,690,000,000,000",420.69T,2876403974.0,0,-0.4323792276689671,0.9269405868237152
53,BlackRock USD Institutional Digital Liquidity FundBUIDL,,1.0,0.0%,0.0,0.0,0.0%,$0.00,"2,851,978,078",2.85B,2851865499.0,0,-0.6045196887715807,0.8961339096947633
54,PayPal USDPYUSD,,1.0,0.0%,0.0,0.0,0.0%,"$146,860,036","2,764,373,535",2.76B,2764325078.0,0,-0.6003043214804875,0.8573045269240476
55,NEAR ProtocolNEAR,,2.18,0.8%,1.0,6.7,28.7%,"$177,403,289","1,249,836,992",1.28B,2727270029.0,0,-0.35211439588620974,0.8703268732464728
56,Jito Staked SOLJITOSOL,,232.87,0.3%,1.4,2.8,13.7%,"$39,166,327","11,536,215",11.54M,2691863592.0,0,-0.39967464306726785,0.8602910829279004
57,USD1USD1,,0.9997,0.0%,0.0,0.0,0.0%,"$269,298,971","2,669,798,073",2.67B,2669239593.0,0,-0.595725632174236,0.8151284475041808
58,Ethereum ClassicETC,,15.65,0.7%,1.3,5.3,16.9%,"$65,053,420","154,022,116",154.02M,2410402100.0,0,-0.33895306333150915,0.7311778749144494
59,Binance-Peg WETHWETH,,3865.76,0.5%,1.2,3.8,7.2%,"$109,000,235","605,000",605000,2340017336.0,0,-0.4001193965230816,0.8498240445148468
60,AptosAPT,,3.22,0.8%,2.7,8.5,25.6%,"$356,553,332","718,147,007",1.18B,2308790562.0,0,-0.12665140153694615,0.712349807661012
61,OndoONDO,,0.7166,0.9%,0.5,6.3,23.7%,"$121,240,959","3,159,107,529",10B,2264820946.0,0,-0.3873431013824215,0.6573284849859603
62,Falcon USDUSDF,,0.9973,0.0%,0.2,0.3,0.1%,"$8,460,801","2,211,801,167",2.21B,2204950002.0,0,-0.5472483684294004,0.6126416310178114
63,Tether GoldXAUT,,4117.46,0.1%,1.8,3.3,8.1%,"$333,033,248","522,089",522089.3,2149695627.0,0,-0.3451752892641665,0.7826118254771021
64,Jupiter Perpetuals Liquidity Provider TokenJLP,,5.42,0.3%,0.8,1.4,4.0%,"$64,865,002","396,102,766",396.1M,2147949027.0,0,-0.46171349717393356,0.5983631359731783
65,AsterASTER,,1.01,1.0%,1.0,20.7,41.2%,"$683,832,744","2,017,700,000",8B,2046148109.0,0,-0.007509409604216208,0.6008582635383874
66,POL (ex-MATIC)POL,,0.1912,0.7%,1.4,2.8,16.4%,"$68,090,332","10,524,720,168",10.52B,2011998456.0,0,-0.36564178542355874,0.549378521201965
67,WorldcoinWLD,,0.8544,1.0%,2.0,9.5,35.6%,"$169,556,682","2,219,102,379",10B,1896167636.0,0,-0.15253307320125525,0.5219329850053579
68,GateGT,,15.81,0.4%,0.3,1.1,4.2%,"$2,508,422","117,344,474",300M,1854194318.0,0,-0.5029042373864279,0.4609006990244741
69,HTX DAOHTX,,0.051984,0.2%,0.5,3.6,14.0%,"$40,626,883","930,149,437,822,426",930.15T,1845510714.0,0,-0.42728108284215083,0.46500699566913334
70,USDtbUSDTB,,0.9992,0.0%,0.0,0.1,0.0%,"$1,036,486","1,830,625,960",1.83B,1828446851.0,0,-0.5530114717713819,0.4424203904966813
